;Pred_type;Depth;if (...) NULL;Footprint;n;;RMSE;;MAE;;MSE;;AVE;;R2;;Spearman;;Pearson;
1;Pred_20m_map;obs_02;P3;20;138;135;0,13;0,13;0,12;0,11;0,02;0,02;-0,02;-0,16;0,01;0,01;0,08;0,11;0,12;0,12
2;Pred_20;obs_02;P3;20;224;224;0,10;0,11;0,08;0,09;0,01;0,01;0,12;0,00;0,13;0,09;0,36;0,27;0,36;0,29
3;Pred_50;obs_02;P3;50;224;224;0,10;0,12;0,08;0,09;0,01;0,01;0,13;-0,14;0,21;0,10;0,45;0,31;0,45;0,31
4;Pred_100;obs_02;P3;100;240;240;0,10;0,12;0,08;0,10;0,01;0,01;0,12;-0,14;0,17;0,09;0,46;0,34;0,42;0,30
5;Pred_200;obs_02;P3;200;262;262;0,11;0,13;0,09;0,11;0,01;0,02;-0,05;-0,52;0,07;0,01;0,23;0,11;0,27;0,12
6;Pred_20m_map;obs_05;P3;20;;;;;;;;;;;;;;;;
7;Pred_20;obs_05;P3;20;;;;;;;;;;;;;;;;
8;Pred_50;obs_05;P3;50;;;;;;;;;;;;;;;;
9;Pred_100;obs_05;P3;100;;;;;;;;;;;;;;;;
10;Pred_200;obs_05;P3;200;;;;;;;;;;;;;;;;
